Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVD15DTLogic.json	1019	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1103	82	0	0	0	0	49	0	0
fsh-generated/resources/Library-HIVD4DTLogic.json	1013	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	392	47	0	0	0	0	17	0	0
fsh-generated/resources/Library-HIVElements.json	1036	8	0	0	1	0	0	0	27	434	0	0	0	0	0	0	0	2	0	0	34785	2128	0	0	0	0	1487	0	1
fsh-generated/resources/Library-HIVEncounterElements.json	1090	7	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	19134	1135	0	0	0	0	817	0	0
fsh-generated/resources/Library-HIVIND11Logic.json	1105	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	155	35	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND12Logic.json	1078	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	168	31	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND13Logic.json	1070	18	0	0	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	165	31	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND14Logic.json	1106	17	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	190	33	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND15Logic.json	1132	17	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	146	31	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND16Logic.json	1067	17	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	201	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND18Logic.json	1067	17	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	156	31	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND19Logic.json	1107	16	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	177	32	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND20Logic.json	1083	17	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	241	37	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND21Logic.json	1056	13	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	308	39	0	0	0	0	16	0	0
fsh-generated/resources/Library-HIVIND22Logic.json	1112	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	287	40	0	0	0	0	12	0	1
fsh-generated/resources/Library-HIVIND24Logic.json	1174	7	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	475	50	0	0	0	0	20	0	0
fsh-generated/resources/Library-HIVIND25Logic.json	1110	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	162	31	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND27Logic.json	1100	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	355	43	0	0	0	0	17	0	0
fsh-generated/resources/Library-HIVIND28Logic.json	1218	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	545	59	0	0	0	0	27	0	0
fsh-generated/resources/Library-HIVIND29Logic.json	1096	8	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	296	40	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND2Logic.json	1074	9	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	200	34	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND30Logic.json	1053	8	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	154	31	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND31Logic.json	1082	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	226	40	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND32Logic.json	1092	8	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	270	38	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND33Logic.json	1123	7	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	219	39	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND34Logic.json	1131	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	235	36	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND35Logic.json	1057	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	413	46	0	0	0	0	19	0	0
fsh-generated/resources/Library-HIVIND37Logic.json	1085	7	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	236	36	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND38Logic.json	1109	7	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	199	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND39Logic.json	1057	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	138	29	0	0	0	0	5	0	0
fsh-generated/resources/Library-HIVIND3Logic.json	1094	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	220	48	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND40Logic.json	1099	8	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	276	38	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND41Logic.json	1106	8	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	392	44	0	0	0	0	21	0	0
fsh-generated/resources/Library-HIVIND42Logic.json	1067	7	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	290	38	0	0	0	0	15	0	0
fsh-generated/resources/Library-HIVIND43Logic.json	1104	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	192	33	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND44Logic.json	1095	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	176	32	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND45Logic.json	1128	7	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	201	34	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND46Logic.json	1147	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	227	35	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND47Logic.json	1080	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	197	33	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND48Logic.json	1078	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	178	32	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND49Logic.json	1113	8	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	181	32	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND4Logic.json	1037	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	197	34	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND50Logic.json	1118	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	219	34	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND51Logic.json	1112	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	260	37	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND52Logic.json	1109	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	272	37	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND53Logic.json	1126	7	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	267	37	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND54Logic.json	1068	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	177	32	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND55Logic.json	1232	8	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	177	33	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND56Logic.json	1069	8	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	214	34	0	0	0	0	21	0	0
fsh-generated/resources/Library-HIVIND57Logic.json	1089	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	434	46	0	0	0	0	24	0	0
fsh-generated/resources/Library-HIVIND58Logic.json	1105	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	177	33	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND59Logic.json	1087	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	153	31	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND5Logic.json	1057	8	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	175	32	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND60Logic.json	1107	7	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	195	33	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND61Logic.json	1096	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	171	32	0	0	0	0	8	0	0
